"It seems the page you were trying to find on this site doesn't exist (or isn't around anymore).","It seems the page you were trying to find on this site doesn't exist (or isn't around anymore)."
"Keywords","Keywords"
"Last Name","Last Name"
"Launching Players","Launching Players"
"Lead Generation","Lead Generation"
"Legal Disclaimer Options","Legal Disclaimer Options"
"Limit each consumer to checkout only once.","Limit each consumer to checkout only once."
"Limit each product to be in shopping cart only once.","Limit each product to be in shopping cart only once."
"Link 1","Link 1"
"Link 2","Link 2"
"Link 3","Link 3"
"Link Out","Link Out"
"Link to Product Page","Link to Product Page"
"Linked Account ID","Linked Account ID"
"Loading Player...","Loading Player..."
"Locale","Locale"
"Logged out","Logged out"
"Login to your Account","Login to your Account"
"Logout","Logout"
"Managing Accounts","Managing Accounts"
"Managing Shipping","Managing Shipping"
"Managing Taxes","Managing Taxes"
"Marketplace Bio Headline","Marketplace Bio Headline"
"Marketplace Bio Text","Marketplace Bio Text"
"Marketplace Seo Url Suffix","Marketplace Seo Url Suffix"
"Marketplace","Marketplace"
"Media in Library","Media in Library"
"Media","Media"
"Merchant Account Information","Merchant Account Information"
"Merchant Account Type","Merchant Account Type"
"Merchant Account","Merchant Account"
"Merchant ID","Merchant ID"
"Message Text","Message Text"
"Message","Message"
"Modify account details, upgrade your plan, manage merchant accounts, and update billing info.","Modify account details, upgrade your plan, manage merchant accounts, and update billing info."
"Modify contact details, shipping information and rates, and additional tax rates.","Modify contact details, shipping information and rates, and additional tax rates."
"More Info","More Info"
"Name","Name"
"Need Help?","Need Help?"
"Not Active","Not Active"
"Optional End of Video Link","Optional End of Video Link"
"Optional Thank You Page Link","Optional Thank You Page Link"
"Options","Options"
"Orders Help","Orders Help"
"Password","Password"
"Path","Path"
"Pause video when overlay is presented to consumer.","Pause video when overlay is presented to consumer."
"PayPal Api Password","PayPal Api Password"
"PayPal Api Signature","PayPal Api Signature"
"PayPal Api User Name","PayPal Api User Name"
"PayPal E-Mail Address","PayPal E-Mail Address"
"PayPal Email Address","PayPal Email Address"
"PayPal does not allow merchants to offer guest checkout (checkout without a PayPal account) unless your PayPal Business Standard/Advanced or Pro account is verified by PayPal.","PayPal does not allow merchants to offer guest checkout (checkout without a PayPal account) unless your PayPal Business Standard/Advanced or Pro account is verified by PayPal."
"People","People"
"Plan Usage","Plan Usage"
"Player Description","Player Description"
"Player Help","Player Help"
"Player List","Player List"
"Player Name","Player Name"
"Player Summary","Player Summary"
"Players List","Players List"
"Players","Players"
"Please click here to review the PayPal FAQs for verifying your PayPal Business Standard/Advanced or Pro account with PayPal","Please click here to review the PayPal FAQs for verifying your PayPal Business Standard/Advanced or Pro account with PayPal"
"Please enter your Cinsay login email address and click the Submit button.","Please enter your Cinsay login email address and click the Submit button."
"Please for more information click here. ","Please for more information click here. "
"Political","Political"
"Position","Position"
"Poster Image","Poster Image"
"Preview Player","Preview Player"
"Preview","Preview"
"Price","Price"
"Private Key","Private Key"
"Problem with Data","Problem with Data"
"Product Code (SKU)","Product Code (SKU)"
"Product Name","Product Name"
"Product Type","Product Type"
"Product With Options","Product With Options"
"Production","Production"
"Products in Library","Products in Library"
"Products","Products"
"Public Key","Public Key"
"Publish to Marketplace","Publish to Marketplace"
"Publish","Publish"
"Quantity","Quantity"
"Rate","Rate"
"Rate: 8.25%","Rate: 8.25%"
"Remove","Remove"
"Request","Request"
"Response","Response"
"Review statistics, analytics, and generate reports of your video player's performance.","Review statistics, analytics, and generate reports of your video player's performance."
"SKU","SKU"
"Sandbox","Sandbox"
"Save Player","Save Player"
"Save Product","Save Product"
"Save Video","Save Video"
"Save","Save"
"Select File","Select File"
"Select Type","Select Type"
"Send to Email Contacts","Send to Email Contacts"
"Send","Send"
"Share Message","Share Message"
"Share to Social Networks (click icon to share)","Share to Social Networks (click icon to share)"
"Shipping","Shipping"
"Shipping Rule","Shipping Rule"
"Specific Locale","Specific Locale"
"Standard Lead","Standard Lead"
"Start Again","Start Again"
"State","State"
"Stats Help","Stats Help"
"Stats Overview","Stats Overview"
"Stats","Stats"
"Storage","Storage"
"Store Help","Store Help"
"Store Settings","Store Settings"
"Summary","Summary"
"Support Link","Support Link"
"Take Action Text","Take Action Text"
"Take me to Marketplace","Take me to Marketplace"
"Taxes","Taxes"
"Telephone","Telephone"
"Terms & Conditions Link","Terms & Conditions Link"
"Thank You Page Link","Thank You Page Link"
"Thank You Page Options","Thank You Page Options"
"There was an error processing your request to reset your password. You may return to the Cinsay","There was an error processing your request to reset your password. You may return to the Cinsay"
"Thumb image (3Mb limit)","Thumb image (3Mb limit)"
"Thumb image: Select File to upload","Thumb image: Select File to upload"
"Timestamp","Timestamp"
"Tip","Tip"
"To protect your financial data we require you to re-enter your credit card information as part of any updates on the Account Management pages.","To protect your financial data we require you to re-enter your credit card information as part of any updates on the Account Management pages."
"To...","To..."
"Transact","Transact"
"Transactions","Transactions"
"URL","URL"
"USD","USD"
"Upgrade Plan","Upgrade Plan"
"Upload Video","Upload Video"
"Upload new image","Upload new image"
"Upload","Upload"
"Use the Publish Tab or Player to publish your container","Use the Publish Tab or Player to publish your container"
"Username","Username"
"Video Description","Video Description"
"Video File: Select File to upload","Video File: Select File to upload"
"Video Name","Video Name"
"Video Source","Video Source"
"Videos","Videos"
"Views","Views"
"Weight","Weight"
"Welcome To Your Dashboard","Welcome To Your Dashboard"
"When a user orders a product from your players, we will send a copy of the order email to the email addresses listed below.","When a user orders a product from your players, we will send a copy of the order email to the email addresses listed below."
"You are now logged out.","You are now logged out."
"You will receive an email from support@cinsay.com with the subject Cinsay Password Reset Request. Please follow the instructions in this message to reset your password. If you do not see the email after a few minutes, please check your spam folder. If you still do not see the email, please contact Cinsay Support at" ,"You will receive an email from support@cinsay.com with the subject Cinsay Password Reset Request. Please follow the instructions in this message to reset your password. If you do not see the email after a few minutes, please check your spam folder. If you still do not see the email, please contact Cinsay Support at"
"YouTube URL","YouTube URL"
"Your password has been reset. A message will be in the inbox you provided with your new password.","Your password has been reset. A message will be in the inbox you provided with your new password."
"Zip","Zip"
"and try again","and try again"
"back to login","back to login"
"download instructions about how to configure your PayPal account","download instructions about how to configure your PayPal account"
"eCommerce","eCommerce"
"emails","emails"
"example@email.com","example@email.com"
"flow background image url","flow background image url"
"for your Cinsay Smart Store. For additional assistance, email us at","for your Cinsay Smart Store. For additional assistance, email us at"
"hello friend","hello friend"
"ignore me. this is a test notice","ignore me. this is a test notice"
"loading","loading"
"login page","login page"
"month","month"
"or 972-616-6010.","or 972-616-6010."
"or if you already have a PayPal Business Standard/Advanced or Pro Account","or if you already have a PayPal Business Standard/Advanced or Pro Account"
"unlimited","UNLIMITED"
