"If you did not request a new password for your Cinsay account and feel that you have received the email that directed you here in error, please contact Cinsay support","Si no has solicitado una nueva contraseña para su cuenta Cinsay y ha recibido un correo electrónico que le dirigió aquí por error, por favor póngase en contacto con el soporte Cinsay"
"Image (3Mb Limit)","Imagen (límite 3Mb)"
"Image (3Mb limit)","Imagen (límite 3Mb)"
"Image","Imagen"
"Important Notes and restrictions","Notas importante y restricciones"
"In addition to entering your PayPal email address in the form below, you must configure your PayPal Business Standard/Advanced or Pro Account to allow Smart Store eCommerce transactions to be processed using your PayPal account. You will need to do this even if you are already connected to other third party eCommerce providers.","Además de introducir su dirección de correo electrónico de PayPal en el siguiente formulario, debe configurar su cuenta PayPal Negocios  Estandar / Advanzada o Pro para permitir transacciones inteligentes de comercio electrónico que sean procesadas por usando la cuenta de Paypal. Tendrá que hacer esto incluso si ya está conectado a otros proveedores de comercio electrónico."
"Info Logo","Información del Logotipo"
"Info Title","Información del Título"
"Info","Información"
"Interact","Interactuar"
"Intro Page Options","Ingrese las Opciones para la Página"
"It seems the page you were trying to find on this site doesn't exist (or isn't around anymore).","Parece que la página que estaba tratando de buscar en este sitio no existe (o fue dada de baja)."
"Keywords","Palabras clave"
"Last Name","Apellido"
"Launching Players","Lanzando Reproductores"
"Lead Generation","Generación de guía"
"Legal Disclaimer Options","Opciones de Descargo de responsabilidad Legal"
"Limit each consumer to checkout only once.","Limite a cada Cliente a solo un hacer el proceso de compra una vez"
"Limit each product to be in shopping cart only once.","Limite cada producto para estar en cesta de la compra sólo una vez."
"Link Out","Enlace de Salida"
"Link to Product Page","Enlace a la Página del Producto"
"Linked Account ID","Cuenta Vinculada con el ID"
"Loading Player...","Cargando Reproductor..."
"Locale","Lugar"
"Logged out","Cerrar Sesión"
"Login to your Account","Accede a tu cuenta"
"Logout","Cerrar Sesión"
"Managing Accounts","Administración de cuentas"
"Managing Shipping","Administración de Envio"
"Managing Taxes","Administración de Tárifas"
"Marketplace Bio Headline","Mercado Bio Headline"
"Marketplace Bio Text","Mercado Bio Text"
"Marketplace Seo Url Suffix","Marketplace Seo Url Suffix"
"Marketplace","Marketplace"
"Media in Library","Media in Library"
"Media","Media"
"Merchant Account Information","Merchant Account Information"
"Merchant Account Type","Merchant Account Type"
"Merchant Account","Merchant Account"
"Merchant ID","Merchant ID"
"Message Text","Message Text"
"Message","Message"
"Modify account details, upgrade your plan, manage merchant accounts, and update billing info.","Modificar datos de su cuenta, actualice su plan, administrar cuentas de comercio, y actualizar la información de facturación."
"Modify contact details, shipping information and rates, and additional tax rates.","Modificar datos de contacto, información de envío y las tasas y las tasas fiscales adicionales."
"More Info","More Info"
"Name","Name"
"Need Help?","Need Help?"
"Not Active","Not Active"
"Optional End of Video Link","Optional End of Video Link"
"Optional Thank You Page Link","Optional Thank You Page Link"
"Options","Options"
"Orders Help","Pedidos Ayuda"
"Password","Clave"
"Path","Path"
"Pause video when overlay is presented to consumer.","Pause video when overlay is presented to consumer."
"PayPal Api Password","PayPal Api Password"
"PayPal Api Signature","PayPal Api Signature"
"PayPal Api User Name","PayPal Api User Name"
"PayPal E-Mail Address","PayPal E-Mail Address"
"PayPal Email Address","PayPal Email Address"
"PayPal does not allow merchants to offer guest checkout (checkout without a PayPal account) unless your PayPal Business Standard/Advanced or Pro account is verified by PayPal.","PayPal does not allow merchants to offer guest checkout (checkout without a PayPal account) unless your PayPal Business Standard/Advanced or Pro account is verified by PayPal."
"People","People"
"Plan Usage","Plan Usage"
"Player Description","Player Description"
"Player Help","Reproductor Ayuda"
"Player List","Lista de Reproductor"
"Player Name","Nombre del Reproductor"
"Player Summary","Player Summary"
"Players List","Lista de Reproductores"
"Players","Reproductores"
"Please click here to review the PayPal FAQs for verifying your PayPal Business Standard/Advanced or Pro account with PayPal","Haga clic aquí para revisar las preguntas frecuentes de PayPal para verificar tu cuenta PayPal Negocios Estandar / Advazada o Pro con PayPal"
"Please enter your Cinsay login email address and click the Submit button.","Por favor, introduzca su dirección de correo electrónico de acceso para Cinsay y haga clic en el botón Enviar."
"Please for more information click here. ","Por Favor para más inforamción clic aquí. "
"Political","Politicas"
"Position","Posición"
"Poster Image","Imagen de Afiche"
"Preview Player","Vista Previa de Reproductor"
"Preview","Vista Previa"
"Price","Precio"
"Private Key","Clave Privada"
"Problem with Data","Problemas con los Datos"
"Product Code (SKU)","Código de Producto(SKU)"
"Product Name","Nombre de Producto"
"Product Type","Tipo de Producto"
"Product With Options","Producto con Opciones"
"Production","Producción"
"Products in Library","Productos en Librería"
"Products","Productos"
"Public Key","Clave Publica"
"Publish to Marketplace","Publicar al merdaco"
"Publish","Publicar"
"Quantity","Cantidad"
"Rate","Tarifa"
"Rate: 8.25%","Tarifa: 8.25%"
"Remove","Quitar"
"Request","Solicitud"
"Response","Respuesta"
"Review statistics, analytics, and generate reports of your video player's performance.","Revisar estadísticas, análisis y generar informes sobre el rendimiento de su reproductor de vídeo."
"SKU","SKU"
"Sandbox","Sandbox"
"Save Player","Guardar Reproductor"
"Save Product","Guardar Producto"
"Save Video","Guardar Video"
"Save","Guardar"
"Save","Guardar"
"Select File","Seleccionar Archivo"
"Select Type","Seleccionar Tipo"
"Send to Email Contacts","Enviar Correo Electrónico a contactos"
"Send","Enviar"
"Share Message","Compartir Mensaje"
"Share to Social Networks (click icon to share)","Compartir en las Redes Sociales (Haga clic en el icono para compartir)"
"Shipping","Envío"
"Shipping Rule","Regla de Envío"
"Specific Locale","Especificar Lugar"
"Standard Lead","Estandar Lead"
"Start Again","Empezar de nuevo"
"State","Estado"
"Stats Help","Estadísticas Ayuda"
"Stats Overview","Estadísticas de Información general"
"Stats","Estadistísticas"
"Storage","Almacenamiento"
"Store Help","Almacenamiento Ayuda"
"Store Settings","Configuración de Tienda"
"Store Settings","Tienda Ajustes"
"Summary","Resumen"
"Support Link","Enlace de Soporte"
"Take Action Text","Tome Texto de Acción"
"Take me to Marketplace","Llévame al mercado"
"Taxes","Tárifas"
"Telephone","Teléfono"
"Terms & Conditions Link","Enlace a Términos y Condiciones"
"Thank You Page Link","Enlace a la Página de Gracias"
"Thank You Page Options","Opciones para la Página de Gracias"
"There was an error processing your request to reset your password. You may return to the Cinsay","Se ha producido un error al procesar su solicitud para restablecer la contraseña. Puede volver a la Cinsay"
"Thumb image (3Mb limit)","Imagen Miniatura  (límite 3Mb)"
"Thumb image: Select File to upload","Imagen Miniatura: Seleccione Archivo para cargar"
"Timestamp","Timestamp"
"Tip","Consejos"
"To protect your financial data we require you to re-enter your credit card information as part of any updates on the Account Management pages.","Para proteger sus datos financieros le exigimos volver a introducir su información de tarjeta de crédito como parte de las actualizaciones de las páginas de gestión de cuentas"
"To...","Para..."
"Transact","Transacción"
"Transactions","Transacciones"
"URL","URL"
"USD","USD"
"Upgrade Plan","Mejorar Plan"
"Upload Video","Mejorar Video"
"Upload new image","Cargar Nueva Imagen"
"Upload","Cargar"
"Use the Publish Tab or Player to publish your container","Utilice la ficha Publicar o reproductor para publicar su contenedor"
"Username","Nombre de usuario"
"Username","Nombre de usuario"
"Video Description","Descripción de Video"
"Video File: Select File to upload","Archivo de vídeo: Seleccione Archivo para cargar"
"Video Name","NNombre de Video"
"Video Source","Fuente de Video"
"Videos","Videos"
"Views","Vistas"
"Weight","Peso"
"Welcome To Your Dashboard","Bienvenido a su tablero de mando"
"When a user orders a product from your players, we will send a copy of the order email to the email addresses listed below.","Cuando un usuario pide un producto desde sus reproductores, le enviaremos una copia de la orden por correo electrónico para la direcciones de correo electrónico que figuran a continuación."
"You are now logged out.","Ahora está desconectado"
"You will receive an email from support@cinsay.com with the subject Cinsay Password Reset Request. Please follow the instructions in this message to reset your password. If you do not see the email after a few minutes, please check your spam folder. If you still do not see the email, please contact Cinsay Support at" ,"Usted recibirá un correo electrónico de support@cinsay.com con la solicitud de  Cinsay reinicio de contraseña. Por favor, siga las instrucciones de este mensaje para restablecer la contraseña. Si no ves el correo electrónico después de unos minutos, por favor revise su carpeta de correo no deseado. Si todavía no ve el correo electrónico, por favor póngase en contacto con Soporte Cinsay en"
"YouTube URL","YouTube URL"
"Your password has been reset. A message will be in the inbox you provided with your new password.","Su contraseña se ha restablecido. Un mensaje estará en la bandeja de entrada que nos ha facilitado con su nueva contraseña."
"Zip","Zip"
"and try again","e intente de nuevo"
"and try again","e intente de nuevo"
"back to login","Volver al inicio"
"back to login","Volver al inicio"
"download instructions about how to configure your PayPal account","descargar instrucciones acerca de cómo configurar su cuenta PayPal"
"eCommerce","Comercio Eletrónico"
"emails","Correo Electrónicos"
"example@email.com","example@email.com"
"flow background image url","flujo para la url de fondo imagen"
"for your Cinsay Smart Store. For additional assistance, email us at","para su tienda inteligente Cinsay. Para asistencia adicional, envíenos un email a"
"hello friend","hola amigo"
"loading ","Cargando"
"loading","Cargando"
"login page","Página de Acceso"
"login page","Página de Acceso"
"month","Mes"
"or 972-616-6010.","or 972-616-6010."
"or if you already have a PayPal Business Standard/Advanced or Pro Account","para su tienda inteligente Cinsay. Para asistencia adicional, envíenos un email a"
"support@cinsay.com","support@cinsay.com"
